gem,ficheiro,commit,categoria,loc_medio,loc_max,pct_singleton,pct_duck,mixins_por_classe,profundidade_heranca,metaprog_por_100,metodos,classes,formas,razao_formas,modo,componente,tamanho_componente,origem,posicao_ranking,relacionado,vizinhos_no_corpus,ligacoes_possiveis_no_corpus
commander,lib/commander/user_interaction.rb,b4c6be4b149c,cli builder,7.4,32,0,83,0.0,0,6.7,30,4,28,0.933,isolado,commander#0,3,grupo,,True,1,2
concurrent-ruby,lib/concurrent-ruby/concurrent/executor/java_thread_pool_executor.rb,0b88d5ff75f6,concurrency and parallelism,5.1,35,0,87,0.5,4,0.0,15,2,15,1.0,com a biblioteca carregada,concurrent-ruby#8,1,diversidade,43,False,0,0
dalli,lib/dalli.rb,fc1b590e462a,caching,4,6,100,25,0.0,3,0.0,4,11,4,1.0,isolado,dalli#0,15,diversidade,93,False,0,0
danger,lib/danger/ci_source/ci_source.rb,c94d38b3ce68,automation,3.1,4,57,29,0.0,0,0.0,7,2,6,0.857,isolado,danger#7,19,grupo,,True,1,1
danger,lib/danger/ci_source/local_only_git_repo.rb,c94d38b3ce68,automation,3.3,5,33,50,0.0,1,0.0,6,2,6,1.0,isolado,danger#7,19,grupo,,True,1,1
danger,lib/danger/commands/local.rb,c94d38b3ce68,automation,12,20,20,60,0.0,2,0.0,5,2,5,1.0,isolado,danger#7,19,grupo,,True,1,1
danger,lib/danger/commands/mr.rb,c94d38b3ce68,automation,14,21,20,60,0.0,2,0.0,5,2,5,1.0,isolado,danger#7,19,grupo,,True,1,1
danger,lib/danger/commands/pr.rb,c94d38b3ce68,automation,14.4,21,20,60,0.0,2,0.0,5,2,5,1.0,isolado,danger#7,19,grupo,,True,1,1
danger,lib/danger/commands/staging.rb,c94d38b3ce68,automation,9.8,15,25,50,0.0,2,0.0,4,2,4,1.0,isolado,danger#7,19,grupo,,True,1,1
danger,lib/danger/danger_core/environment_manager.rb,c94d38b3ce68,automation,6.2,19,25,56,0.0,0,0.0,16,2,15,0.938,isolado,danger#7,19,grupo,,True,14,14
danger,lib/danger/danger_core/executor.rb,c94d38b3ce68,automation,9.2,35,0,38,0.0,0,0.0,8,2,8,1.0,isolado,danger#7,19,grupo,,True,1,1
danger,lib/danger/helpers/comment.rb,c94d38b3ce68,automation,4.4,8,40,80,0.0,0,0.0,5,2,5,1.0,isolado,danger#7,19,grupo,,True,2,2
danger,lib/danger/helpers/comments_helper.rb,c94d38b3ce68,automation,8.9,21,0,64,0.33,0,0.0,14,3,14,1.0,isolado,danger#7,19,grupo,,True,7,7
danger,lib/danger/helpers/comments_parsing_helper.rb,c94d38b3ce68,automation,8.2,16,0,50,0.0,0,0.0,6,3,6,1.0,isolado,danger#7,19,grupo,,True,5,5
danger,lib/danger/plugin_support/plugin.rb,c94d38b3ce68,automation,3.6,7,57,43,0.0,0,28.6,7,2,7,1.0,isolado,danger#38,4,diversidade,81,False,0,0
danger,lib/danger/request_sources/bitbucket_cloud.rb,c94d38b3ce68,automation,10.4,42,14,64,0.33,1,0.0,14,3,13,0.929,isolado,danger#7,19,grupo,,True,2,2
danger,lib/danger/request_sources/bitbucket_server.rb,c94d38b3ce68,automation,9.4,44,11,74,0.33,1,0.0,19,3,18,0.947,isolado,danger#7,19,grupo,,True,2,2
danger,lib/danger/request_sources/github/github.rb,c94d38b3ce68,automation,14.6,68,5,82,0.33,1,0.0,38,3,35,0.921,isolado,danger#7,19,grupo,,True,4,5
danger,lib/danger/request_sources/github/github_review.rb,c94d38b3ce68,automation,5.5,12,0,57,0.25,0,0.0,14,4,11,0.786,isolado,danger#7,19,grupo,,True,2,3
danger,lib/danger/request_sources/gitlab.rb,c94d38b3ce68,automation,14.8,77,6,74,0.33,1,0.0,34,3,32,0.941,isolado,danger#7,19,grupo,124,True,4,4
danger,lib/danger/request_sources/local_only.rb,c94d38b3ce68,automation,3.2,9,11,11,0.33,1,0.0,9,3,6,0.667,isolado,danger#7,19,grupo,,True,1,1
danger,lib/danger/request_sources/request_source.rb,c94d38b3ce68,automation,3.5,9,32,21,0.0,0,0.0,19,3,12,0.632,isolado,danger#7,19,grupo,,True,1,1
danger,lib/danger/request_sources/vsts.rb,c94d38b3ce68,automation,12.2,57,10,70,0.33,1,0.0,20,3,17,0.85,isolado,danger#7,19,grupo,,True,3,3
debug,lib/debug/breakpoint.rb,bad4d38f8330,developer tooling,8.9,43,2,62,0.25,1,7.7,52,8,46,0.885,isolado,debug#1,14,grupo,,True,2,7
debug,lib/debug/client.rb,bad4d38f8330,developer tooling,19.1,62,42,58,0.0,1,33.3,12,3,12,1.0,isolado,debug#1,14,grupo,,True,1,2
debug,lib/debug/config.rb,bad4d38f8330,developer tooling,18.1,177,52,59,0.0,0,11.1,27,2,26,0.963,isolado,debug#1,14,grupo,,True,4,10
debug,lib/debug/console.rb,bad4d38f8330,developer tooling,11.8,65,0,50,0.5,0,0.0,16,2,13,0.812,isolado,debug#1,14,grupo,,True,1,3
debug,lib/debug/dap_custom/traceInspector.rb,bad4d38f8330,developer tooling,14.8,53,0,90,0.0,1,10.0,20,7,19,0.95,isolado,debug#1,14,grupo,,True,2,4
debug,lib/debug/frame_info.rb,bad4d38f8330,developer tooling,6.5,17,5,68,0.0,0,0.0,22,2,22,1.0,isolado,debug#1,14,grupo,,True,2,5
debug,lib/debug/irb_integration.rb,bad4d38f8330,developer tooling,7.7,8,0,33,0.0,0,66.7,3,4,3,1.0,isolado,debug#1,14,grupo,,True,2,3
debug,lib/debug/local.rb,bad4d38f8330,developer tooling,7.2,17,0,31,0.0,1,0.0,13,2,13,1.0,isolado,debug#1,14,grupo,135,True,1,6
debug,lib/debug/server.rb,bad4d38f8330,developer tooling,18.4,58,0,73,0.0,2,0.0,26,8,24,0.923,isolado,debug#1,14,grupo,,True,5,7
debug,lib/debug/server_cdp.rb,bad4d38f8330,developer tooling,27,202,9,83,0.27,1,26.1,46,11,42,0.913,isolado,debug#1,14,grupo,33,True,4,7
debug,lib/debug/server_dap.rb,bad4d38f8330,developer tooling,32.6,219,12,81,0.17,1,28.1,32,6,31,0.969,isolado,debug#1,14,grupo,,True,4,6
debug,lib/debug/session.rb,bad4d38f8330,developer tooling,15.6,675,16,69,0.62,1,3.4,149,24,129,0.866,isolado,debug#1,14,grupo,,True,10,11
debug,lib/debug/thread_client.rb,bad4d38f8330,developer tooling,14.7,377,1,76,0.62,1,5.7,87,8,82,0.943,isolado,debug#1,14,grupo,,True,8,11
debug,lib/debug/tracer.rb,bad4d38f8330,developer tooling,9.6,55,0,67,0.33,1,4.8,21,6,20,0.952,isolado,debug#1,14,grupo,,True,4,8
devise,lib/devise/models.rb,9ea459de9aec,authentication and oauth,13.5,34,33,67,1.33,1,100.0,6,3,6,1.0,isolado,devise#1,1,diversidade,38,False,0,0
diffy,lib/diffy/diff.rb,72dc29ff5a5b,diff,13.4,35,20,80,0.5,0,10.0,10,2,10,1.0,isolado,diffy#0,2,diversidade,90,False,0,0
doorkeeper,lib/generators/doorkeeper/enable_polymorphic_resource_owner_generator.rb,75a84fefe686,authentication and oauth,6,12,33,0,0.5,1,0.0,3,2,3,1.0,isolado,doorkeeper#39,1,diversidade,80,False,0,0
dry-types,lib/dry/types.rb,1a13fb04926f,type signatures and type checking,7.3,28,100,50,2.0,0,8.3,12,2,10,0.833,isolado,dry-types#0,21,diversidade,69,False,0,0
dry-types,lib/dry/types/predicate_registry.rb,1a13fb04926f,type signatures and type checking,2.3,3,0,33,0.0,0,0.0,3,3,3,1.0,isolado,dry-types#12,1,diversidade,57,False,0,0
eye,lib/eye/child_process.rb,300aa8793112,process management and monitoring,3.8,17,0,21,8.0,0,0.0,14,1,11,0.786,com a biblioteca carregada,eye#1,36,diversidade,71,False,0,0
eye,lib/eye/dsl/pure_opts.rb,300aa8793112,process management and monitoring,11.9,39,22,33,0.0,0,122.2,9,1,7,0.778,isolado,eye#1,36,diversidade,9,False,0,0
faker,lib/faker/default/cosmere.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,10,2,10,1.0,isolado,faker#7,1,diversidade,101,False,0,0
faraday,lib/faraday.rb,f1ace878bae1,http clients and tools,4,7,100,29,0.0,0,14.3,7,1,7,1.0,isolado,faraday#0,1,diversidade,14,False,0,0
fastimage,lib/fastimage/fastimage_parsing/fiber_stream.rb,7a0dcf780e6d,image processing,11,17,0,50,0.5,0,0.0,4,2,4,1.0,isolado,fastimage#2,1,diversidade,92,False,0,0
fastlane,deliver/lib/deliver/setup.rb,38d0ec404332,mobile development,26.1,89,0,57,0.0,0,142.9,7,2,7,1.0,isolado,fastlane#0,349,diversidade,56,False,0,0
